date,enterprise_value
"March 19, 2020",46.72B
"March 18, 2020",43.58B
"March 17, 2020",42.35B
"March 16, 2020",41.18B
"March 13, 2020",45.40B
"March 12, 2020",42.88B
"March 11, 2020",46.54B
"March 10, 2020",49.07B
"March 9, 2020",47.77B
"March 6, 2020",50.90B
"March 5, 2020",51.49B
"March 4, 2020",53.18B
"March 3, 2020",52.31B
"March 2, 2020",54.05B
"Feb. 29, 2020",54.42B
"Feb. 28, 2020",53.58B
"Feb. 27, 2020",52.95B
"Feb. 26, 2020",54.46B
"Feb. 25, 2020",54.74B
"Feb. 24, 2020",57.15B
"Feb. 21, 2020",59.35B
"Feb. 20, 2020",59.78B
"Feb. 19, 2020",58.79B
"Feb. 18, 2020",58.12B
"Feb. 14, 2020",58.14B
"Feb. 13, 2020",58.88B
"Feb. 12, 2020",58.11B
"Feb. 11, 2020",57.97B
"Feb. 10, 2020",57.66B
"Feb. 7, 2020",57.36B
"Feb. 6, 2020",55.53B
"Feb. 5, 2020",55.87B
"Feb. 4, 2020",55.24B
"Feb. 3, 2020",54.28B
"Jan. 31, 2020",54.49B
"Jan. 30, 2020",55.43B
"Jan. 29, 2020",55.38B
"Jan. 28, 2020",55.47B
"Jan. 27, 2020",55.49B
"Jan. 24, 2020",56.95B
"Jan. 23, 2020",57.16B
"Jan. 22, 2020",57.33B
"Jan. 21, 2020",57.85B
"Jan. 17, 2020",58.49B
"Jan. 16, 2020",58.38B
"Jan. 15, 2020",58.28B
"Jan. 14, 2020",59.05B
"Jan. 13, 2020",58.31B
"Jan. 10, 2020",57.62B
"Jan. 9, 2020",57.99B
"Jan. 8, 2020",57.75B
"Jan. 7, 2020",57.14B
"Jan. 6, 2020",56.75B
"Jan. 3, 2020",56.72B
"Jan. 2, 2020",57.22B
"Dec. 31, 2019",56.20B
"Dec. 30, 2019",55.92B
"Dec. 27, 2019",56.55B
"Dec. 26, 2019",56.54B
"Dec. 24, 2019",56.09B
"Dec. 23, 2019",56.33B
"Dec. 20, 2019",55.39B
"Dec. 19, 2019",55.11B
"Dec. 18, 2019",55.07B
"Dec. 17, 2019",59.34B
"Dec. 16, 2019",59.57B
"Dec. 13, 2019",59.98B
"Dec. 12, 2019",59.77B
"Dec. 11, 2019",58.26B
"Dec. 10, 2019",57.71B
"Dec. 9, 2019",57.59B
"Dec. 6, 2019",57.61B
"Dec. 5, 2019",56.91B
"Dec. 4, 2019",56.90B
"Dec. 3, 2019",56.18B
"Dec. 2, 2019",57.98B
"Nov. 30, 2019",58.51B
"Nov. 29, 2019",58.00B
"Nov. 27, 2019",58.38B
"Nov. 26, 2019",58.38B
"Nov. 25, 2019",57.87B
"Nov. 22, 2019",57.09B
"Nov. 21, 2019",55.92B
"Nov. 20, 2019",55.97B
"Nov. 19, 2019",56.82B
"Nov. 18, 2019",57.35B
"Nov. 15, 2019",57.55B
"Nov. 14, 2019",57.12B
"Nov. 13, 2019",57.01B
"Nov. 12, 2019",58.31B
"Nov. 11, 2019",58.56B
"Nov. 8, 2019",58.83B
"Nov. 7, 2019",59.01B
"Nov. 6, 2019",58.82B
"Nov. 5, 2019",59.25B
"Nov. 4, 2019",59.25B
"Nov. 1, 2019",57.08B
"Oct. 31, 2019",56.07B
"Oct. 30, 2019",56.90B
"Oct. 29, 2019",57.47B
"Oct. 28, 2019",57.57B
"Oct. 25, 2019",57.49B
"Oct. 24, 2019",56.44B
"Oct. 23, 2019",56.94B
"Oct. 22, 2019",56.59B
"Oct. 21, 2019",55.91B
"Oct. 18, 2019",55.36B
"Oct. 17, 2019",55.56B
"Oct. 16, 2019",55.58B
"Oct. 15, 2019",55.37B
"Oct. 14, 2019",54.54B
"Oct. 11, 2019",54.22B
"Oct. 10, 2019",53.13B
"Oct. 9, 2019",52.57B
"Oct. 8, 2019",52.35B
"Oct. 7, 2019",53.32B
"Oct. 4, 2019",53.55B
"Oct. 3, 2019",53.22B
"Oct. 2, 2019",52.97B
"Oct. 1, 2019",53.20B
"Sept. 30, 2019",54.22B
"Sept. 27, 2019",54.06B
"Sept. 26, 2019",54.12B
"Sept. 25, 2019",54.61B
"Sept. 24, 2019",53.62B
"Sept. 23, 2019",54.25B
"Sept. 20, 2019",55.06B
"Sept. 19, 2019",56.02B
"Sept. 18, 2019",55.62B
"Sept. 17, 2019",61.46B
"Sept. 16, 2019",61.53B
"Sept. 13, 2019",61.67B
"Sept. 12, 2019",61.51B
"Sept. 11, 2019",61.63B
"Sept. 10, 2019",61.19B
"Sept. 9, 2019",59.92B
"Sept. 6, 2019",58.48B
"Sept. 5, 2019",59.13B
"Sept. 4, 2019",57.74B
"Sept. 3, 2019",56.78B
"Aug. 31, 2019",57.63B
"Aug. 30, 2019",56.64B
"Aug. 29, 2019",56.34B
"Aug. 28, 2019",55.22B
"Aug. 27, 2019",54.27B
"Aug. 26, 2019",55.04B
"Aug. 23, 2019",54.91B
"Aug. 22, 2019",56.50B
"Aug. 21, 2019",56.53B
"Aug. 20, 2019",55.92B
"Aug. 19, 2019",56.56B
"Aug. 16, 2019",55.96B
"Aug. 15, 2019",55.13B
"Aug. 14, 2019",55.71B
"Aug. 13, 2019",57.14B
"Aug. 12, 2019",56.70B
"Aug. 9, 2019",57.56B
"Aug. 8, 2019",58.10B
"Aug. 7, 2019",57.17B
"Aug. 6, 2019",57.31B
"Aug. 5, 2019",56.29B
"Aug. 2, 2019",57.97B
"Aug. 1, 2019",57.86B
"July 31, 2019",59.75B
"July 30, 2019",60.23B
"July 29, 2019",60.29B
"July 26, 2019",60.89B
"July 25, 2019",61.13B
"July 24, 2019",61.17B
"July 23, 2019",60.58B
"July 22, 2019",59.48B
"July 19, 2019",58.85B
"July 18, 2019",58.39B
"July 17, 2019",58.31B
"July 16, 2019",59.54B
"July 15, 2019",59.05B
"July 12, 2019",58.94B
"July 11, 2019",57.67B
"July 10, 2019",56.99B
"July 9, 2019",56.78B
"July 8, 2019",57.21B
"July 5, 2019",57.51B
"July 3, 2019",57.36B
"July 2, 2019",56.94B
"July 1, 2019",57.77B
"June 28, 2019",58.08B
"June 27, 2019",57.85B
"June 26, 2019",56.97B
"June 25, 2019",55.94B
"June 24, 2019",57.23B
"June 21, 2019",58.39B
"June 20, 2019",59.21B
"June 19, 2019",58.70B
"June 18, 2019",58.64B
"June 17, 2019",57.96B
"June 14, 2019",58.18B
"June 13, 2019",58.47B
"June 12, 2019",57.35B
"June 11, 2019",56.85B
"June 10, 2019",57.47B
"June 7, 2019",56.47B
"June 6, 2019",56.17B
"June 5, 2019",56.62B
"June 4, 2019",56.88B
"June 3, 2019",54.99B
"May 31, 2019",55.50B
"May 30, 2019",56.72B
"May 29, 2019",57.12B
"May 28, 2019",56.83B
"May 24, 2019",57.22B
"May 23, 2019",57.39B
"May 22, 2019",57.76B
"May 21, 2019",59.32B
"May 20, 2019",59.38B
"May 17, 2019",59.82B
"May 16, 2019",61.35B
"May 15, 2019",60.50B
"May 14, 2019",60.33B
"May 13, 2019",60.44B
"May 10, 2019",61.93B
"May 9, 2019",62.33B
"May 8, 2019",62.30B
"May 7, 2019",62.62B
"May 6, 2019",63.91B
"May 3, 2019",64.55B
"May 2, 2019",64.28B
"May 1, 2019",63.91B
"April 30, 2019",64.91B
"April 29, 2019",64.18B
"April 26, 2019",63.50B
"April 25, 2019",64.76B
"April 24, 2019",67.10B
"April 23, 2019",66.39B
"April 22, 2019",66.61B
"April 18, 2019",67.18B
"April 17, 2019",67.15B
"April 16, 2019",66.94B
"April 15, 2019",66.66B
"April 12, 2019",66.86B
"April 11, 2019",65.54B
"April 10, 2019",65.31B
"April 9, 2019",65.04B
"April 8, 2019",65.41B
"April 5, 2019",65.03B
"April 4, 2019",64.45B
"April 3, 2019",63.80B
"April 2, 2019",63.50B
"April 1, 2019",64.13B
"March 29, 2019",62.81B
"March 28, 2019",61.90B
"March 27, 2019",61.43B
"March 26, 2019",61.18B
"March 25, 2019",60.38B
"March 22, 2019",60.88B
"March 21, 2019",62.18B
"March 20, 2019",61.16B
"March 19, 2019",62.81B
"March 18, 2019",63.07B
"March 15, 2019",61.92B
"March 14, 2019",62.21B
"March 13, 2019",62.32B
"March 12, 2019",61.71B
"March 11, 2019",61.52B
"March 8, 2019",60.31B
"March 7, 2019",60.59B
"March 6, 2019",61.97B
"March 5, 2019",62.45B
"March 4, 2019",62.74B
"March 1, 2019",63.18B
"Feb. 28, 2019",62.71B
"Feb. 27, 2019",62.63B
"Feb. 26, 2019",62.60B
"Feb. 25, 2019",62.44B
"Feb. 22, 2019",62.28B
"Feb. 21, 2019",62.75B
"Feb. 20, 2019",62.65B
"Feb. 19, 2019",62.22B
"Feb. 15, 2019",61.97B
"Feb. 14, 2019",63.18B
"Feb. 13, 2019",63.62B
"Feb. 12, 2019",63.58B
"Feb. 11, 2019",62.44B
"Feb. 8, 2019",61.44B
"Feb. 7, 2019",62.51B
"Feb. 6, 2019",63.15B
"Feb. 5, 2019",63.13B
"Feb. 4, 2019",62.87B
"Feb. 1, 2019",61.98B
"Jan. 31, 2019",61.52B
"Jan. 30, 2019",61.50B
"Jan. 29, 2019",60.48B
"Jan. 28, 2019",60.58B
"Jan. 25, 2019",60.94B
"Jan. 24, 2019",60.62B
"Jan. 23, 2019",60.51B
"Jan. 22, 2019",61.09B
"Jan. 18, 2019",61.35B
"Jan. 17, 2019",60.40B
"Jan. 16, 2019",59.90B
"Jan. 15, 2019",59.71B
"Jan. 14, 2019",59.95B
"Jan. 11, 2019",59.80B
"Jan. 10, 2019",59.58B
"Jan. 9, 2019",59.70B
"Jan. 8, 2019",58.77B
"Jan. 7, 2019",58.69B
"Jan. 4, 2019",58.09B
"Jan. 3, 2019",56.20B
"Jan. 2, 2019",57.77B
"Dec. 31, 2018",57.28B
"Dec. 28, 2018",56.67B
"Dec. 27, 2018",57.20B
"Dec. 26, 2018",56.97B
"Dec. 24, 2018",55.03B
"Dec. 21, 2018",56.41B
"Dec. 20, 2018",56.86B
"Dec. 19, 2018",57.59B
"Dec. 18, 2018",63.46B
"Dec. 17, 2018",62.73B
"Dec. 14, 2018",63.23B
"Dec. 13, 2018",64.03B
"Dec. 12, 2018",64.31B
"Dec. 11, 2018",64.67B
"Dec. 10, 2018",65.53B
"Dec. 7, 2018",67.74B
"Dec. 6, 2018",71.31B
"Dec. 4, 2018",71.43B
"Dec. 3, 2018",75.22B
"Nov. 30, 2018",74.95B
"Nov. 29, 2018",74.52B
"Nov. 28, 2018",75.67B
"Nov. 27, 2018",73.93B
"Nov. 26, 2018",73.88B
"Nov. 23, 2018",73.44B
"Nov. 21, 2018",73.22B
"Nov. 20, 2018",72.90B
"Nov. 19, 2018",74.21B
"Nov. 16, 2018",74.31B
"Nov. 15, 2018",74.61B
"Nov. 14, 2018",73.91B
"Nov. 13, 2018",73.21B
"Nov. 12, 2018",72.45B
"Nov. 9, 2018",73.71B
"Nov. 8, 2018",75.03B
"Nov. 7, 2018",75.52B
