date,revenue_per_employee_annual
"May 31, 2019",299111.6
"May 31, 2018",330555.6
"May 31, 2017",357976.3
"May 31, 2016",301586.8
"May 31, 2015",289347.6
"May 31, 2014",282410.9
"May 31, 2013",285999.4
"May 31, 2012",292328.8
"May 31, 2011",276788.7
"May 31, 2010",247217.1
"May 31, 2009",249101.8
"May 31, 2008",263562.5
"May 31, 2007",250277.2
"May 31, 2006",233591.3
"May 31, 2005",216222.4
"May 31, 2004",184747.7
"May 31, 2003",166817.5
"May 31, 2002",147403.4
"May 31, 2001",133986.3
"May 31, 2000",127226.5
"May 31, 1999",121546.9
"May 31, 1998",148344.0
"May 31, 1997",194119.7
"May 31, 1996",182140.7
"May 31, 1995",139142.2
"May 31, 1994",105335.4
"May 31, 1993",82189.47
"May 31, 1992",87032.85
"May 31, 1991",97940.13
