Ex-Date,Record Date,Pay Date,Declared Date,Type,Amoun
03/06/2020,03/09/2020,04/01/2020,02/14/2020,Normal,0.65
12/06/2019,12/09/2019,01/02/2020,11/15/2019,Normal,0.65
09/06/2019,09/09/2019,10/01/2019,08/16/2019,Normal,0.65
06/21/2019,06/24/2019,07/08/2019,06/10/2019,Normal,0.65
03/08/2019,03/11/2019,04/01/2019,02/15/2019,Normal,0.65
12/07/2018,12/10/2018,01/02/2019,11/16/2018,Normal,0.65
09/07/2018,09/10/2018,10/01/2018,08/17/2018,Normal,0.65
06/22/2018,06/25/2018,07/09/2018,06/11/2018,Normal,0.65
03/09/2018,03/12/2018,04/02/2018,02/16/2018,Normal,0.50
12/08/2017,12/11/2017,01/02/2018,11/17/2017,Normal,0.50
09/08/2017,09/11/2017,10/02/2017,08/18/2017,Normal,0.50
06/20/2017,06/22/2017,07/06/2017,06/13/2017,Normal,0.50
03/09/2017,03/13/2017,04/03/2017,02/18/2017,Normal,0.40
12/08/2016,12/12/2016,01/03/2017,11/18/2016,Normal,0.40
09/08/2016,09/12/2016,10/03/2016,08/19/2016,Normal,0.40
06/14/2016,06/16/2016,07/01/2016,06/06/2016,Normal,0.40
03/10/2016,03/14/2016,04/01/2016,02/19/2016,Normal,0.25
12/10/2015,12/14/2015,01/04/2016,11/02/2015,Normal,0.25
09/08/2015,09/10/2015,10/01/2015,08/14/2015,Normal,0.25
06/16/2015,06/18/2015,07/02/2015,06/08/2015,Normal,0.25
03/09/2015,03/11/2015,04/01/2015,02/13/2015,Normal,0.20
12/10/2014,12/12/2014,01/02/2015,11/20/2014,Normal,0.20
09/08/2014,09/10/2014,10/01/2014,08/15/2014,Normal,0.20
06/17/2014,06/19/2014,07/03/2014,06/09/2014,Normal,0.20
03/07/2014,03/11/2014,04/01/2014,02/14/2014,Normal,0.15
12/10/2013,12/12/2013,01/02/2014,11/15/2013,Normal,0.15
09/06/2013,09/10/2013,10/01/2013,08/16/2013,Normal,0.15
06/13/2013,06/17/2013,07/01/2013,06/03/2013,Normal,0.15
03/07/2013,03/11/2013,04/01/2013,02/15/2013,Normal,0.14
11/19/2012,11/21/2012,12/17/2012,11/02/2012,Normal,0.14
09/06/2012,09/10/2012,10/01/2012,08/20/2012,Normal,0.14
06/14/2012,06/18/2012,07/02/2012,06/05/2012,Normal,0.14
03/08/2012,03/12/2012,04/02/2012,02/18/2012,Normal,0.13
12/09/2011,12/13/2011,01/03/2012,11/19/2011,Normal,0.13
09/08/2011,09/12/2011,10/03/2011,08/20/2011,Normal,0.13
06/15/2011,06/17/2011,07/01/2011,06/07/2011,Normal,0.13
03/16/2011,03/18/2011,04/01/2011,03/01/2011,Normal,0.12
11/18/2010,11/22/2010,12/17/2010,11/09/2010,Normal,0.12
09/08/2010,09/10/2010,10/01/2010,08/24/2010,Normal,0.12
06/15/2010,06/17/2010,07/01/2010,06/08/2010,Normal,0.12
03/09/2010,03/11/2010,04/01/2010,02/17/2010,Normal,0.11
12/10/2009,12/14/2009,01/04/2010,11/23/2009,Normal,0.11
09/08/2009,09/10/2009,10/01/2009,08/17/2009,Normal,0.11
06/16/2009,06/18/2009,07/01/2009,06/10/2009,Normal,0.11
03/09/2009,03/11/2009,04/01/2009,02/16/2009,Normal,0.11
12/10/2008,12/12/2008,01/02/2009,11/24/2008,Normal,0.11
09/08/2008,09/10/2008,10/01/2008,08/18/2008,Normal,0.11
06/11/2008,06/13/2008,07/01/2008,06/03/2008,Normal,0.11
03/07/2008,03/11/2008,04/01/2008,02/22/2008,Normal,0.10
12/10/2007,12/12/2007,01/02/2008,11/16/2007,Normal,0.10
09/06/2007,09/10/2007,10/01/2007,08/17/2007,Normal,0.10
06/07/2007,06/11/2007,07/02/2007,05/25/2007,Normal,0.10
03/08/2007,03/12/2007,04/02/2007,02/15/2007,Normal,0.09
12/08/2006,12/12/2006,01/02/2007,11/17/2006,Normal,0.09
09/07/2006,09/11/2006,10/02/2006,08/18/2006,Normal,0.09
06/08/2006,06/12/2006,07/03/2006,05/26/2006,Normal,0.09
03/09/2006,03/13/2006,04/03/2006,02/17/2006,Normal,0.08
12/09/2005,12/13/2005,01/03/2006,11/18/2005,Normal,0.08
09/08/2005,09/12/2005,10/03/2005,08/19/2005,Normal,0.08
06/08/2005,06/10/2005,07/01/2005,05/31/2005,Normal,0.08
03/09/2005,03/11/2005,04/01/2005,01/28/2005,Normal,0.07
12/09/2004,12/13/2004,01/03/2005,11/22/2004,Normal,0.07
09/08/2004,09/10/2004,10/01/2004,07/30/2004,Normal,0.07
06/08/2004,06/10/2004,07/01/2004,05/28/2004,Normal,0.07
03/09/2004,03/11/2004,04/01/2004,01/29/2004,Normal,0.06
12/10/2003,12/12/2003,01/02/2004,12/02/2003,Normal,0.06
09/08/2003,09/10/2003,10/01/2003,08/20/2003,Normal,0.05
06/10/2003,06/12/2003,07/01/2003,06/02/2003,Normal,0.05
03/06/2003,03/10/2003,04/01/2003,02/14/2003,Normal,0.05
12/10/2002,12/12/2002,01/02/2003,12/02/2002,Normal,0.05
09/05/2002,09/09/2002,10/01/2002,08/16/2002,Normal,0.05
06/13/2002,06/17/2002,07/08/2002,05/31/2002,Normal,0.05
