date,revenues_growth
"Feb. 29, 2020",2.80%
"Nov. 30, 2019",-2.81%
"Aug. 31, 2019",-0.02%
"May 31, 2019",2.85%
"Feb. 28, 2019",2.93%
"Nov. 30, 2018",9.26%
"Aug. 31, 2018",11.47%
"May 31, 2018",10.08%
"Feb. 28, 2018",10.20%
"Nov. 30, 2017",9.26%
"Aug. 31, 2017",4.32%
"May 31, 2017",21.18%
"Feb. 28, 2017",18.52%
"Nov. 30, 2016",19.90%
"Aug. 31, 2016",19.42%
"May 31, 2016",7.14%
"Feb. 29, 2016",8.01%
"Nov. 30, 2015",4.31%
"Aug. 31, 2015",5.09%
"May 31, 2015",2.32%
"Feb. 28, 2015",3.67%
"Nov. 30, 2014",4.70%
"Aug. 31, 2014",5.99%
"May 31, 2014",3.53%
"Feb. 28, 2014",3.18%
"Nov. 30, 2013",2.66%
"Aug. 31, 2013",2.15%
"May 31, 2013",3.88%
"Feb. 28, 2013",3.68%
"Nov. 30, 2012",4.91%
"Aug. 31, 2012",2.58%
"May 31, 2012",4.32%
"Feb. 29, 2012",9.32%
"Nov. 30, 2011",9.91%
"Aug. 31, 2011",11.25%
"May 31, 2011",11.92%
"Feb. 28, 2011",11.06%
"Nov. 30, 2010",12.05%
"Aug. 31, 2010",18.08%
"May 31, 2010",20.07%
"Feb. 28, 2010",6.93%
"Nov. 30, 2009",-9.88%
"Aug. 31, 2009",-19.67%
"May 31, 2009",-20.41%
"Feb. 28, 2009",-13.78%
"Nov. 30, 2008",0.92%
"Aug. 31, 2008",8.38%
"May 31, 2008",7.81%
"Feb. 29, 2008",9.83%
"Nov. 30, 2007",5.88%
"Aug. 31, 2007",7.65%
"May 31, 2007",7.73%
"Feb. 28, 2007",7.36%
"Nov. 30, 2006",10.33%
"Aug. 31, 2006",10.87%
"May 31, 2006",10.10%
"Feb. 28, 2006",9.05%
"Nov. 30, 2005",10.31%
"Aug. 31, 2005",10.49%
"May 31, 2005",9.57%
"Feb. 28, 2005",21.07%
"Nov. 30, 2004",23.89%
"Aug. 31, 2004",22.65%
"May 31, 2004",20.77%
"Feb. 29, 2004",9.32%
"Nov. 30, 2003",4.46%
"Aug. 31, 2003",4.44%
"May 31, 2003",7.64%
"Feb. 28, 2003",10.48%
"Nov. 30, 2002",10.36%
"Aug. 31, 2002",8.10%
"May 31, 2002",5.84%
"Feb. 28, 2002",3.72%
"Nov. 30, 2001",4.90%
"Aug. 31, 2001",5.40%
"May 31, 2001",5.53%
"Feb. 28, 2001",7.10%
"Nov. 30, 2000",7.11%
"Aug. 31, 2000",10.62%
"May 31, 2000",10.62%
"Feb. 29, 2000",10.24%
"Nov. 30, 1999",8.57%
"Aug. 31, 1999",5.82%
"May 31, 1999",7.49%
"Feb. 28, 1999",2.81%
"Nov. 30, 1998",6.78%
"Aug. 31, 1998",5.58%
"May 31, 1998",2.95%
"Feb. 28, 1998",12.80%
"Nov. 30, 1997",38.20%
"Aug. 31, 1997",43.61%
"May 31, 1997",-23.62%
"Feb. 28, 1997",39.38%
"Nov. 30, 1996",11.99%
"Aug. 31, 1996",9.74%
"May 31, 1996",110.0%
"Feb. 29, 1996",8.70%
"Nov. 30, 1995",7.98%
"Aug. 31, 1995",9.96%
"May 31, 1995",9.04%
"Feb. 28, 1995",12.28%
"Nov. 30, 1994",11.19%
"Aug. 31, 1994",10.69%
"May 31, 1994",11.10%
"Feb. 28, 1994",7.09%
"Nov. 30, 1993",7.98%
"Aug. 31, 1993",8.09%
"May 31, 1993",7.78%
"Feb. 28, 1993",2.66%
"Nov. 30, 1992",1.10%
"Aug. 31, 1992",2.14%
"May 31, 1992",-1.19%
"Feb. 29, 1992",1.34%
"Nov. 30, 1991",-2.49%
"Aug. 31, 1991",-4.73%
"May 31, 1991",0.00%
"Feb. 28, 1991",7.82%
"Nov. 30, 1990",15.60%
"Aug. 31, 1990",16.33%
"May 31, 1990",14.72%
"Feb. 28, 1990",34.70%
"Nov. 30, 1989",51.76%
"Aug. 31, 1989",52.76%
"May 31, 1989",58.52%
"Feb. 28, 1989",31.38%
"Nov. 30, 1988",20.40%
"Aug. 31, 1988",18.59%
"May 31, 1988",21.03%
"Feb. 29, 1988",22.32%
"Nov. 30, 1987",20.40%
"Aug. 31, 1987",25.26%
"May 31, 1987",20.26%
"Feb. 28, 1987",19.58%
"Nov. 30, 1986",25.29%
"Aug. 31, 1986",23.20%
"May 31, 1986",22.02%
"Feb. 28, 1986",30.06%
"Nov. 30, 1985",28.92%
"Aug. 31, 1985",34.21%
"May 31, 1985",43.44%
"Feb. 28, 1985",36.95%
