date,shareholders_equity
"Feb. 29, 2020",18.83B
"Nov. 30, 2019",18.66B
"Aug. 31, 2019",18.17B
"May 31, 2019",17.76B
"Feb. 28, 2019",19.89B
"Nov. 30, 2018",19.29B
"Aug. 31, 2018",19.17B
"May 31, 2018",19.42B
"Feb. 28, 2018",18.89B
"Nov. 30, 2017",17.06B
"Aug. 31, 2017",16.62B
"May 31, 2017",16.07B
"Feb. 28, 2017",15.18B
"Nov. 30, 2016",14.53B
"Aug. 31, 2016",14.14B
"May 31, 2016",13.78B
"Feb. 29, 2016",14.33B
"Nov. 30, 2015",14.99B
"Aug. 31, 2015",15.28B
"May 31, 2015",14.99B
"Feb. 28, 2015",16.01B
"Nov. 30, 2014",15.56B
"Aug. 31, 2014",15.12B
"May 31, 2014",15.28B
"Feb. 28, 2014",15.23B
"Nov. 30, 2013",17.53B
"Aug. 31, 2013",17.66B
"May 31, 2013",17.40B
"Feb. 28, 2013",16.11B
"Nov. 30, 2012",15.54B
"Aug. 31, 2012",15.02B
"May 31, 2012",14.73B
"Feb. 29, 2012",16.57B
"Nov. 30, 2011",15.92B
"Aug. 31, 2011",15.71B
"May 31, 2011",15.22B
"Feb. 28, 2011",14.88B
"Nov. 30, 2010",14.56B
"Aug. 31, 2010",14.20B
"May 31, 2010",13.81B
"Feb. 28, 2010",14.38B
"Nov. 30, 2009",14.17B
"Aug. 31, 2009",13.79B
"May 31, 2009",13.63B
"Feb. 28, 2009",15.55B
"Nov. 30, 2008",15.48B
"Aug. 31, 2008",15.14B
"May 31, 2008",14.53B
"Feb. 29, 2008",14.19B
"Nov. 30, 2007",13.76B
"Aug. 31, 2007",13.22B
"May 31, 2007",12.66B
"Feb. 28, 2007",13.01B
"Nov. 30, 2006",12.56B
"Aug. 31, 2006",12.02B
"May 31, 2006",11.51B
"Feb. 28, 2006",10.92B
"Nov. 30, 2005",10.41B
"Aug. 31, 2005",9.929B
"May 31, 2005",9.588B
"Feb. 28, 2005",9.122B
"Nov. 30, 2004",8.796B
"Aug. 31, 2004",8.389B
"May 31, 2004",8.036B
"Feb. 29, 2004",7.601B
"Nov. 30, 2003",7.41B
"Aug. 31, 2003",7.327B
"May 31, 2003",7.288B
"Feb. 28, 2003",7.028B
"Nov. 30, 2002",6.896B
"Aug. 31, 2002",6.657B
"May 31, 2002",6.545B
"Feb. 28, 2002",6.327B
"Nov. 30, 2001",6.253B
"Aug. 31, 2001",6.021B
"May 31, 2001",5.90B
"Feb. 28, 2001",5.779B
"Nov. 30, 2000",5.147B
"Aug. 31, 2000",4.962B
"May 31, 2000",4.785B
"Feb. 29, 2000",4.639B
"Nov. 30, 1999",4.640B
"Aug. 31, 1999",4.819B
"May 31, 1999",4.664B
"Feb. 28, 1999",4.405B
"Nov. 30, 1998",4.300B
"Aug. 31, 1998",4.093B
"May 31, 1998",3.961B
"Feb. 28, 1998",3.779B
"Nov. 30, 1997",3.210B
"Aug. 31, 1997",3.103B
"May 31, 1997",3.501B
"Feb. 28, 1997",2.817B
"Nov. 30, 1996",2.752B
"Aug. 31, 1996",2.642B
"May 31, 1996",2.576B
"Feb. 29, 1996",2.452B
"Nov. 30, 1995",2.420B
"Aug. 31, 1995",2.325B
"May 31, 1995",2.246B
"Feb. 28, 1995",2.144B
"Nov. 30, 1994",2.081B
"Aug. 31, 1994",1.991B
"May 31, 1994",1.925B
"Feb. 28, 1994",1.835B
"Nov. 30, 1993",1.781B
"Aug. 31, 1993",1.702B
"May 31, 1993",1.671B
"Feb. 28, 1993",1.673B
"Nov. 30, 1992",1.645B
"Aug. 31, 1992",1.591B
"May 31, 1992",1.580B
"Feb. 29, 1992",1.535B
"Nov. 30, 1991",1.726B
"Aug. 31, 1991",1.695B
"May 31, 1991",1.669B
"Feb. 28, 1991",1.620B
"Nov. 30, 1990",1.713B
"Aug. 31, 1990",1.685B
"May 31, 1990",1.649B
"Feb. 28, 1990",1.589B
"Nov. 30, 1989",1.584B
"Aug. 31, 1989",1.537B
"May 31, 1989",1.494B
"May 31, 1988",1.331B
"May 31, 1987",1.079B
"May 31, 1986",1.092B
"May 31, 1985",812.30M
"May 31, 1984",717.70M
