date,cash_on_hand
"Feb. 29, 2020",1.766B
"Nov. 30, 2019",2.031B
"Aug. 31, 2019",2.389B
"May 31, 2019",2.319B
"Feb. 28, 2019",2.872B
"Nov. 30, 2018",2.123B
"Aug. 31, 2018",2.369B
"May 31, 2018",3.265B
"Feb. 28, 2018",2.789B
"Nov. 30, 2017",2.768B
"Aug. 31, 2017",3.503B
"May 31, 2017",3.969B
"Feb. 28, 2017",3.173B
"Nov. 30, 2016",3.059B
"Aug. 31, 2016",2.989B
"May 31, 2016",3.534B
"Feb. 29, 2016",2.841B
"Nov. 30, 2015",3.647B
"Aug. 31, 2015",3.543B
"May 31, 2015",3.763B
"Feb. 28, 2015",3.478B
"Nov. 30, 2014",2.266B
"Aug. 31, 2014",2.416B
"May 31, 2014",2.908B
"Feb. 28, 2014",3.042B
"Nov. 30, 2013",3.935B
"Aug. 31, 2013",5.096B
"May 31, 2013",4.917B
"Feb. 28, 2013",3.372B
"Nov. 30, 2012",2.517B
"Aug. 31, 2012",2.743B
"May 31, 2012",2.843B
"Feb. 29, 2012",2.04B
"Nov. 30, 2011",1.896B
"Aug. 31, 2011",1.959B
"May 31, 2011",2.328B
"Feb. 28, 2011",1.359B
"Nov. 30, 2010",1.877B
"Aug. 31, 2010",1.709B
"May 31, 2010",1.952B
"Feb. 28, 2010",1.549B
"Nov. 30, 2009",1.465B
"Aug. 31, 2009",1.789B
"May 31, 2009",2.292B
"Feb. 28, 2009",2.673B
"Nov. 30, 2008",1.542B
"Aug. 31, 2008",1.573B
"May 31, 2008",1.539B
"Feb. 29, 2008",1.011B
"Nov. 30, 2007",830.00M
"Aug. 31, 2007",1.112B
"May 31, 2007",1.569B
"Feb. 28, 2007",1.77B
"Nov. 30, 2006",1.855B
"Aug. 31, 2006",2.69B
"May 31, 2006",1.937B
"Feb. 28, 2006",1.121B
"Nov. 30, 2005",786.00M
"Aug. 31, 2005",1.051B
"May 31, 2005",1.039B
"Feb. 28, 2005",1.084B
"Nov. 30, 2004",939.00M
"Aug. 31, 2004",1.388B
"May 31, 2004",1.046B
"Feb. 29, 2004",475.00M
"Nov. 30, 2003",1.03B
"Aug. 31, 2003",706.00M
"May 31, 2003",538.00M
"Feb. 28, 2003",186.00M
"Nov. 30, 2002",519.00M
"Aug. 31, 2002",233.00M
"May 31, 2002",331.00M
"Feb. 28, 2002",220.00M
"Nov. 30, 2001",248.00M
"Aug. 31, 2001",110.00M
"May 31, 2001",121.00M
"Feb. 28, 2001",139.94M
"Nov. 30, 2000",654.78M
"Aug. 31, 2000",176.59M
"May 31, 2000",68.00M
"Feb. 29, 2000",129.49M
"Nov. 30, 1999",517.89M
"Aug. 31, 1999",379.70M
"May 31, 1999",325.32M
"Feb. 28, 1999",139.10M
"Nov. 30, 1998",664.40M
"Aug. 31, 1998",195.20M
"May 31, 1998",229.56M
"Feb. 28, 1998",144.50M
"Nov. 30, 1997",193.20M
"Aug. 31, 1997",209.80M
"May 31, 1997",160.90M
"Feb. 28, 1997",100.30M
"Nov. 30, 1996",111.70M
"Aug. 31, 1996",154.90M
"May 31, 1996",93.40M
"Feb. 29, 1996",104.00M
"Nov. 30, 1995",115.10M
"Aug. 31, 1995",206.80M
"May 31, 1995",357.50M
"Feb. 28, 1995",259.20M
"Nov. 30, 1994",246.00M
"Aug. 31, 1994",415.80M
"May 31, 1994",392.90M
"Feb. 28, 1994",229.60M
"Nov. 30, 1993",359.30M
"Aug. 31, 1993",225.70M
"May 31, 1993",155.50M
"Feb. 28, 1993",95.30M
"Nov. 30, 1992",192.40M
"Aug. 31, 1992",177.00M
"May 31, 1992",78.20M
"Feb. 29, 1992",163.80M
"Nov. 30, 1991",166.60M
"Aug. 31, 1991",172.20M
"May 31, 1991",117.70M
"Feb. 28, 1991",210.20M
"Nov. 30, 1990",247.10M
"Aug. 31, 1990",67.50M
"May 31, 1990",98.50M
"Feb. 28, 1990",43.70M
"Nov. 30, 1989",52.60M
"Aug. 31, 1989",86.80M
"May 31, 1989",157.30M
"May 31, 1988",54.90M
"May 31, 1987",21.70M
"May 31, 1986",185.00M
"May 31, 1985",12.20M
"May 31, 1984",37.70M
