date,max_drawdown_all
"Feb. 29, 2020",71.31%
"Jan. 31, 2020",71.31%
"Dec. 31, 2019",71.31%
"Nov. 30, 2019",71.31%
"Oct. 31, 2019",71.31%
"Sept. 30, 2019",71.31%
"Aug. 31, 2019",71.31%
"July 31, 2019",71.31%
"June 30, 2019",71.31%
"May 31, 2019",71.31%
"April 30, 2019",71.31%
"March 31, 2019",71.31%
"Feb. 28, 2019",71.31%
"Jan. 31, 2019",71.31%
"Dec. 31, 2018",71.31%
"Nov. 30, 2018",71.31%
"Oct. 31, 2018",71.31%
"Sept. 30, 2018",71.31%
"Aug. 31, 2018",71.31%
"July 31, 2018",71.31%
"June 30, 2018",71.31%
"May 31, 2018",71.31%
"April 30, 2018",71.31%
"March 31, 2018",71.31%
"Feb. 28, 2018",71.31%
"Jan. 31, 2018",71.31%
"Dec. 31, 2017",71.31%
"Nov. 30, 2017",71.31%
"Oct. 31, 2017",71.31%
"Sept. 30, 2017",71.31%
"Aug. 31, 2017",71.31%
"July 31, 2017",71.31%
"June 30, 2017",71.31%
"May 31, 2017",71.31%
"April 30, 2017",71.31%
"March 31, 2017",71.31%
"Feb. 28, 2017",71.31%
"Jan. 31, 2017",71.31%
"Dec. 31, 2016",71.31%
"Nov. 30, 2016",71.31%
"Oct. 31, 2016",71.31%
"Sept. 30, 2016",71.31%
"Aug. 31, 2016",71.31%
"July 31, 2016",71.31%
"June 30, 2016",71.31%
"May 31, 2016",71.31%
"April 30, 2016",71.31%
"March 31, 2016",71.31%
"Feb. 29, 2016",71.31%
"Jan. 31, 2016",71.31%
"Dec. 31, 2015",71.31%
"Nov. 30, 2015",71.31%
"Oct. 31, 2015",71.31%
"Sept. 30, 2015",71.31%
"Aug. 31, 2015",71.31%
"July 31, 2015",71.31%
"June 30, 2015",71.31%
"May 31, 2015",71.31%
"April 30, 2015",71.31%
"March 31, 2015",71.31%
"Feb. 28, 2015",71.31%
"Jan. 31, 2015",71.31%
"Dec. 31, 2014",71.31%
"Nov. 30, 2014",71.31%
"Oct. 31, 2014",71.31%
"Sept. 30, 2014",71.31%
"Aug. 31, 2014",71.31%
"July 31, 2014",71.31%
"June 30, 2014",71.31%
"May 31, 2014",71.31%
"April 30, 2014",71.31%
"March 31, 2014",71.31%
"Feb. 28, 2014",71.31%
"Jan. 31, 2014",71.31%
"Dec. 31, 2013",71.31%
"Nov. 30, 2013",71.31%
"Oct. 31, 2013",71.31%
"Sept. 30, 2013",71.31%
"Aug. 31, 2013",71.31%
"July 31, 2013",71.31%
"June 30, 2013",71.31%
"May 31, 2013",71.31%
"April 30, 2013",71.31%
"March 31, 2013",71.31%
"Feb. 28, 2013",71.31%
"Jan. 31, 2013",71.31%
"Dec. 31, 2012",71.31%
"Nov. 30, 2012",71.31%
"Oct. 31, 2012",71.31%
"Sept. 30, 2012",71.31%
"Aug. 31, 2012",71.31%
"July 31, 2012",71.31%
"June 30, 2012",71.31%
"May 31, 2012",71.31%
"April 30, 2012",71.31%
"March 31, 2012",71.31%
"Feb. 29, 2012",71.31%
"Jan. 31, 2012",71.31%
"Dec. 31, 2011",71.31%
"Nov. 30, 2011",71.31%
"Oct. 31, 2011",71.31%
"Sept. 30, 2011",71.31%
"Aug. 31, 2011",71.31%
"July 31, 2011",71.31%
"June 30, 2011",71.31%
"May 31, 2011",71.31%
"April 30, 2011",71.31%
"March 31, 2011",71.31%
"Feb. 28, 2011",71.31%
"Jan. 31, 2011",71.31%
"Dec. 31, 2010",71.31%
"Nov. 30, 2010",71.31%
"Oct. 31, 2010",71.31%
"Sept. 30, 2010",71.31%
"Aug. 31, 2010",71.31%
"July 31, 2010",71.31%
"June 30, 2010",71.31%
"May 31, 2010",71.31%
"April 30, 2010",71.31%
"March 31, 2010",71.31%
"Feb. 28, 2010",71.31%
"Jan. 31, 2010",71.31%
"Dec. 31, 2009",71.31%
"Nov. 30, 2009",71.31%
"Oct. 31, 2009",71.31%
"Sept. 30, 2009",71.31%
"Aug. 31, 2009",71.31%
"July 31, 2009",71.31%
"June 30, 2009",71.31%
"May 31, 2009",71.31%
"April 30, 2009",71.31%
"March 31, 2009",71.31%
"Feb. 28, 2009",63.95%
"Jan. 31, 2009",60.36%
"Dec. 31, 2008",60.36%
"Nov. 30, 2008",60.36%
"Oct. 31, 2008",60.36%
"Sept. 30, 2008",60.36%
"Aug. 31, 2008",60.36%
"July 31, 2008",60.36%
"June 30, 2008",60.36%
"May 31, 2008",60.36%
"April 30, 2008",60.36%
"March 31, 2008",60.36%
"Feb. 29, 2008",60.36%
"Jan. 31, 2008",60.36%
"Dec. 31, 2007",60.36%
"Nov. 30, 2007",60.36%
"Oct. 31, 2007",60.36%
"Sept. 30, 2007",60.36%
"Aug. 31, 2007",60.36%
"July 31, 2007",60.36%
"June 30, 2007",60.36%
"May 31, 2007",60.36%
"April 30, 2007",60.36%
"March 31, 2007",60.36%
"Feb. 28, 2007",60.36%
"Jan. 31, 2007",60.36%
"Dec. 31, 2006",60.36%
"Nov. 30, 2006",60.36%
"Oct. 31, 2006",60.36%
"Sept. 30, 2006",60.36%
"Aug. 31, 2006",60.36%
"July 31, 2006",60.36%
"June 30, 2006",60.36%
"May 31, 2006",60.36%
"April 30, 2006",60.36%
"March 31, 2006",60.36%
"Feb. 28, 2006",60.36%
"Jan. 31, 2006",60.36%
"Dec. 31, 2005",60.36%
"Nov. 30, 2005",60.36%
"Oct. 31, 2005",60.36%
"Sept. 30, 2005",60.36%
"Aug. 31, 2005",60.36%
"July 31, 2005",60.36%
"June 30, 2005",60.36%
"May 31, 2005",60.36%
"April 30, 2005",60.36%
"March 31, 2005",60.36%
"Feb. 28, 2005",60.36%
"Jan. 31, 2005",60.36%
"Dec. 31, 2004",60.36%
"Nov. 30, 2004",60.36%
"Oct. 31, 2004",60.36%
"Sept. 30, 2004",60.36%
"Aug. 31, 2004",60.36%
"July 31, 2004",60.36%
"June 30, 2004",60.36%
"May 31, 2004",60.36%
"April 30, 2004",60.36%
"March 31, 2004",60.36%
"Feb. 29, 2004",60.36%
"Jan. 31, 2004",60.36%
"Dec. 31, 2003",60.36%
"Nov. 30, 2003",60.36%
"Oct. 31, 2003",60.36%
"Sept. 30, 2003",60.36%
"Aug. 31, 2003",60.36%
"July 31, 2003",60.36%
"June 30, 2003",60.36%
"May 31, 2003",60.36%
"April 30, 2003",60.36%
"March 31, 2003",60.36%
"Feb. 28, 2003",60.36%
"Jan. 31, 2003",60.36%
"Dec. 31, 2002",60.36%
