date,accruals
"Feb. 29, 2020",-889.00M
"Nov. 30, 2019",-949.00M
"Aug. 31, 2019",180.00M
"May 31, 2019",-4.259B
"Feb. 28, 2019",-405.00M
"Nov. 30, 2018",-543.00M
"Aug. 31, 2018",134.00M
"May 31, 2018",-2.385B
"Feb. 28, 2018",2.41B
"Nov. 30, 2017",-133.00M
"Aug. 31, 2017",6.00M
"May 31, 2017",-1.265B
"Feb. 28, 2017",552.00M
"Nov. 30, 2016",-964.00M
"Aug. 31, 2016",-256.00M
"May 31, 2016",-1.982B
"Feb. 29, 2016",-835.00M
"Nov. 30, 2015",-522.00M
"Aug. 31, 2015",-549.00M
"May 31, 2015",-2.787B
"Feb. 28, 2015",-694.00M
"Nov. 30, 2014",-506.00M
"Aug. 31, 2014",-329.00M
"May 31, 2014",-729.00M
"Feb. 28, 2014",-591.00M
"Nov. 30, 2013",-180.00M
"Aug. 31, 2013",-440.00M
"May 31, 2013",-254.00M
"Feb. 28, 2013",-897.00M
"Nov. 30, 2012",-377.00M
"Aug. 31, 2012",-444.00M
"May 31, 2012",-1.268B
"Feb. 29, 2012",-328.00M
"Nov. 30, 2011",-811.00M
"Aug. 31, 2011",-396.00M
"May 31, 2011",-1.026B
"Feb. 28, 2011",-215.00M
"Nov. 30, 2010",-932.00M
"Aug. 31, 2010",-416.00M
"May 31, 2010",-811.00M
"Feb. 28, 2010",-312.00M
"Nov. 30, 2009",-114.00M
"Aug. 31, 2009",-717.00M
"May 31, 2009",-1.408B
"Feb. 28, 2009",-669.00M
"Nov. 30, 2008",-264.00M
"Aug. 31, 2008",-314.00M
"May 31, 2008",-1.529B
"Feb. 29, 2008",-520.00M
"Nov. 30, 2007",16.00M
"Aug. 31, 2007",-307.00M
"May 31, 2007",-843.00M
"Feb. 28, 2007",-336.00M
"Nov. 30, 2006",-172.00M
"Aug. 31, 2006",-190.00M
"May 31, 2006",-889.00M
"Feb. 28, 2006",-656.00M
"Nov. 30, 2005",119.00M
"Aug. 31, 2005",-444.00M
"May 31, 2005",-709.00M
"Feb. 28, 2005",-404.00M
"Nov. 30, 2004",-148.00M
"Aug. 31, 2004",-407.00M
"May 31, 2004",-876.00M
"Feb. 29, 2004",-265.00M
"Nov. 30, 2003",-596.00M
"Aug. 31, 2003",-445.00M
"May 31, 2003",-685.00M
"Feb. 28, 2003",380.00M
"Nov. 30, 2002",-413.00M
"Aug. 31, 2002",-323.00M
"May 31, 2002",-552.00M
"Feb. 28, 2002",-256.00M
"Nov. 30, 2001",-491.00M
"Aug. 31, 2001",-219.00M
"May 31, 2001",-905.00M
"Feb. 28, 2001",-82.43M
"Nov. 30, 2000",-328.76M
"Aug. 31, 2000",-143.00M
"May 31, 2000",-504.70M
"Feb. 29, 2000",-86.00M
"Nov. 30, 1999",-175.20M
"Aug. 31, 1999",-171.10M
"May 31, 1999",-511.69M
"Feb. 28, 1999",-74.20M
"Nov. 30, 1998",-308.40M
"Aug. 31, 1998",-246.50M
"May 31, 1998",-574.94M
"Feb. 28, 1998",-170.60M
"Nov. 30, 1997",-198.80M
"Aug. 31, 1997",-157.90M
"May 31, 1997",-470.80M
"Feb. 28, 1997",-69.10M
"Nov. 30, 1996",-165.50M
"Aug. 31, 1996",-217.50M
"May 31, 1996",-500.10M
"Feb. 29, 1996",-143.50M
"Nov. 30, 1995",-145.00M
"Aug. 31, 1995",-115.30M
"May 31, 1995",-300.30M
"Feb. 28, 1995",-114.10M
"Nov. 30, 1994",-142.20M
"Aug. 31, 1994",-176.60M
"May 31, 1994",-227.60M
"Feb. 28, 1994",-48.60M
"Nov. 30, 1993",-152.40M
"Aug. 31, 1993",-134.20M
"May 31, 1993",-248.80M
"Feb. 28, 1993",-60.00M
"Nov. 30, 1992",-138.70M
"Aug. 31, 1992",-223.80M
"May 31, 1992",-182.40M
"Feb. 29, 1992",-81.10M
"Nov. 30, 1991",-225.30M
"Aug. 31, 1991",-145.90M
"May 31, 1991",-191.90M
"Feb. 28, 1991",-152.80M
"Nov. 30, 1990",-155.70M
"Aug. 31, 1990",-281.10M
"May 31, 1990",-301.60M
"Feb. 28, 1990",-61.90M
"Nov. 30, 1989",55.10M
"Aug. 31, 1989",-92.10M
