date,shares_outstanding
"March 13, 2020",261.25M
"Feb. 29, 2020",261.25M
"Dec. 13, 2019",261.12M
"Nov. 30, 2019",261.12M
"Sept. 13, 2019",260.91M
"Aug. 31, 2019",260.91M
"July 29, 2019",260.87M
"July 12, 2019",260.81M
"May 31, 2019",260.81M
"March 15, 2019",260.57M
"Feb. 28, 2019",260.57M
"Dec. 14, 2018",261.04M
"Nov. 30, 2018",261.04M
"Sept. 13, 2018",263.52M
"Aug. 31, 2018",263.52M
"July 30, 2018",264.44M
"July 26, 2018",264.44M
"July 12, 2018",265.92M
"May 31, 2018",265.92M
"March 19, 2018",267.22M
"Feb. 28, 2018",267.22M
"Dec. 18, 2017",267.89M
"Nov. 30, 2017",267.89M
"Sept. 18, 2017",268.15M
"Aug. 31, 2017",268.15M
"July 31, 2017",268.26M
"July 13, 2017",268.26M
"May 31, 2017",268.26M
"March 20, 2017",267.38M
"Feb. 28, 2017",267.38M
"Dec. 20, 2016",266.51M
"Nov. 30, 2016",266.51M
"Sept. 20, 2016",265.76M
"Aug. 31, 2016",265.52M
"Aug. 1, 2016",265.55M
"July 14, 2016",265.52M
"May 31, 2016",265.52M
"March 16, 2016",268.42M
"Feb. 29, 2016",268.42M
"Dec. 15, 2015",275.62M
"Nov. 30, 2015",275.62M
"Sept. 16, 2015",282.38M
"Aug. 31, 2015",282.38M
"Aug. 3, 2015",282.50M
"July 10, 2015",282.43M
"May 31, 2015",282.43M
"March 18, 2015",283.76M
"Feb. 28, 2015",283.76M
"Dec. 17, 2014",283.31M
"Nov. 30, 2014",283.31M
"Sept. 17, 2014",283.25M
"Aug. 31, 2014",283.25M
"Aug. 4, 2014",283.96M
"July 11, 2014",285.42M
"May 31, 2014",285.42M
"March 19, 2014",295.52M
"Feb. 28, 2014",295.52M
"Dec. 18, 2013",312.23M
"Nov. 30, 2013",312.23M
"Sept. 18, 2013",316.64M
"Aug. 31, 2013",316.64M
"July 29, 2013",316.12M
"July 12, 2013",316.58M
"May 31, 2013",316.58M
"March 19, 2013",316.87M
"Feb. 28, 2013",316.87M
"Dec. 18, 2012",314.46M
"Nov. 30, 2012",314.46M
"Sept. 17, 2012",314.09M
"Aug. 31, 2012",314.09M
"Aug. 2, 2012",314.05M
"July 30, 2012",314.00M
"July 13, 2012",316.60M
"May 31, 2012",316.60M
"March 21, 2012",315.37M
"Feb. 29, 2012",315.37M
"Dec. 14, 2011",314.48M
"Nov. 30, 2011",314.48M
"Sept. 21, 2011",317.22M
"Aug. 31, 2011",317.00M
"Aug. 1, 2011",317.20M
"July 11, 2011",317.03M
"May 31, 2011",317.00M
"March 16, 2011",315.66M
"Feb. 28, 2011",315.66M
"Dec. 15, 2010",315.02M
"Nov. 30, 2010",315.00M
"Sept. 15, 2010",314.64M
"Aug. 31, 2010",315.00M
"Aug. 2, 2010",314.59M
"July 12, 2010",314.54M
"May 31, 2010",314.00M
"March 15, 2010",313.19M
"Feb. 28, 2010",313.00M
"Dec. 15, 2009",312.92M
"Nov. 30, 2009",313.00M
"Sept. 15, 2009",312.52M
"Aug. 31, 2009",313.00M
"Aug. 3, 2009",312.39M
"July 13, 2009",312.33M
"May 31, 2009",312.00M
"March 16, 2009",311.36M
"Dec. 15, 2008",311.29M
"Nov. 30, 2008",311.00M
"Sept. 15, 2008",311.24M
"Aug. 31, 2008",311.00M
"July 14, 2008",311.19M
"May 31, 2008",311.00M
"March 17, 2008",310.06M
"Feb. 29, 2008",310.00M
"Dec. 17, 2007",309.46M
"Nov. 30, 2007",309.00M
"Aug. 31, 2007",309.27M
"May 31, 2007",308.77M
"March 19, 2007",307.80M
"Feb. 28, 2007",307.80M
"Dec. 18, 2006",307.12M
"Nov. 30, 2006",307.12M
"Sept. 18, 2006",306.63M
"Aug. 31, 2006",307.00M
"July 10, 2006",306.41M
"May 31, 2006",306.41M
"March 17, 2006",305.12M
"Feb. 28, 2006",305.12M
"Dec. 16, 2005",303.88M
"Nov. 30, 2005",303.88M
"Sept. 16, 2005",303.04M
"Aug. 31, 2005",303.04M
"July 11, 2005",302.63M
"May 31, 2005",301.98M
"March 11, 2005",302.07M
"Feb. 28, 2005",302.07M
"Dec. 10, 2004",301.32M
"Nov. 30, 2004",301.32M
"Sept. 17, 2004",300.57M
"Aug. 31, 2004",300.57M
"July 12, 2004",300.00M
"May 31, 2004",300.00M
"March 15, 2004",298.72M
"Feb. 29, 2004",298.72M
"Dec. 15, 2003",298.38M
"Nov. 30, 2003",298.38M
"Sept. 15, 2003",298.29M
"Aug. 31, 2003",298.29M
"July 7, 2003",298.50M
"May 31, 2003",298.59M
"March 14, 2003",298.34M
"Feb. 28, 2003",298.19M
"Jan. 9, 2003",298.45M
"Nov. 30, 2002",298.19M
"Sept. 30, 2002",298.20M
"Aug. 31, 2002",298.19M
"July 15, 2002",297.63M
"May 31, 2002",298.19M
"March 31, 2002",298.42M
"Feb. 28, 2002",298.57M
"Dec. 31, 2001",298.34M
"Nov. 30, 2001",298.57M
"Sept. 28, 2001",298.12M
"Aug. 31, 2001",298.57M
"July 20, 2001",297.51M
"May 31, 2001",298.57M
"March 30, 2001",297.11M
"Feb. 28, 2001",298.57M
"Dec. 31, 2000",285.52M
"Nov. 30, 2000",285.04M
"Sept. 30, 2000",285.04M
"July 26, 2000",284.89M
"March 31, 2000",287.07M
"Dec. 31, 1999",289.96M
"Nov. 30, 1999",298.57M
"Aug. 31, 1999",298.36M
"Aug. 2, 1999",298.26M
"May 31, 1999",297.99M
"Feb. 28, 1999",297.21M
"Nov. 30, 1998",295.31M
"Aug. 31, 1998",294.92M
"Aug. 3, 1998",294.90M
"May 31, 1998",294.82M
"Feb. 28, 1998",294.01M
"Nov. 30, 1997",231.18M
"Aug. 31, 1997",230.09M
"May 31, 1997",229.81M
"Feb. 28, 1997",228.40M
"Nov. 30, 1996",228.01M
"Aug. 31, 1996",227.79M
"May 31, 1996",227.54M
"Feb. 29, 1996",227.06M
"Nov. 30, 1995",226.74M
"Aug. 31, 1995",225.18M
"May 31, 1995",222.48M
"Feb. 28, 1995",224.17M
"Nov. 30, 1994",223.82M
"Aug. 31, 1994",223.70M
"May 31, 1994",223.62M
"Feb. 28, 1994",223.17M
"Nov. 30, 1993",221.34M
"Aug. 31, 1993",220.21M
"May 31, 1993",218.97M
"Feb. 28, 1993",218.74M
"Nov. 30, 1992",216.72M
"Aug. 31, 1992",216.38M
"May 31, 1992",214.18M
"Feb. 29, 1992",215.54M
"Nov. 30, 1991",214.61M
"Aug. 31, 1991",214.58M
"May 31, 1991",214.53M
"Feb. 28, 1991",214.53M
"Nov. 30, 1990",213.00M
"Aug. 31, 1990",212.73M
"May 31, 1990",212.58M
"Feb. 28, 1990",211.45M
"Nov. 30, 1989",211.45M
"Aug. 31, 1989",211.45M
"May 31, 1989",207.41M
"Feb. 28, 1989",205.91M
"Nov. 30, 1988",205.91M
"Aug. 31, 1988",209.38M
"May 31, 1988",209.38M
"Feb. 29, 1988",208.47M
"Nov. 30, 1987",208.47M
"Aug. 31, 1987",205.77M
"May 31, 1987",206.52M
"Feb. 28, 1987",207.24M
"Nov. 30, 1986",204.14M
"Aug. 31, 1986",202.64M
"May 31, 1986",203.23M
"Feb. 28, 1986",201.77M
"Nov. 30, 1985",193.23M
"Aug. 31, 1985",187.54M
"May 31, 1985",188.12M
"Feb. 28, 1985",186.99M
"Nov. 30, 1984",186.40M
"Aug. 31, 1984",185.07M
"May 31, 1984",185.54M
"Feb. 29, 1984",145.86M
