date,free_cash_flow
"Feb. 29, 2020",-235.00M
"Nov. 30, 2019",-339.00M
"Aug. 31, 2019",-853.00M
"May 31, 2019",557.00M
"Feb. 28, 2019",21.00M
"Nov. 30, 2018",23.00M
"Aug. 31, 2018",-478.00M
"May 31, 2018",1.843B
"Feb. 28, 2018",-1.709B
"Nov. 30, 2017",-669.00M
"Aug. 31, 2017",-454.00M
"May 31, 2017",959.00M
"Feb. 28, 2017",-1.099B
"Nov. 30, 2016",198.00M
"Aug. 31, 2016",-244.00M
"May 31, 2016",656.00M
"Feb. 29, 2016",342.00M
"Nov. 30, 2015",-140.00M
"Aug. 31, 2015",32.00M
"May 31, 2015",515.00M
"Feb. 28, 2015",243.00M
"Nov. 30, 2014",-1.00M
"Aug. 31, 2014",262.00M
"May 31, 2014",707.00M
"Feb. 28, 2014",105.00M
"Nov. 30, 2013",-438.00M
"Aug. 31, 2013",357.00M
"May 31, 2013",767.00M
"Feb. 28, 2013",716.00M
"Nov. 30, 2012",-101.00M
"Aug. 31, 2012",-69.00M
"May 31, 2012",757.00M
"Feb. 29, 2012",120.00M
"Nov. 30, 2011",201.00M
"Aug. 31, 2011",-250.00M
"May 31, 2011",853.00M
"Feb. 28, 2011",-198.00M
"Nov. 30, 2010",168.00M
"Aug. 31, 2010",-216.00M
"May 31, 2010",395.00M
"Feb. 28, 2010",119.00M
"Nov. 30, 2009",-210.00M
"Aug. 31, 2009",18.00M
"May 31, 2009",60.00M
"Feb. 28, 2009",166.00M
"Nov. 30, 2008",6.00M
"Aug. 31, 2008",62.00M
"May 31, 2008",506.00M
"Feb. 29, 2008",270.00M
"Nov. 30, 2007",-284.00M
"Aug. 31, 2007",26.00M
"May 31, 2007",683.00M
"Feb. 28, 2007",103.00M
"Nov. 30, 2006",-77.00M
"Aug. 31, 2006",-34.00M
"May 31, 2006",795.00M
"Feb. 28, 2006",554.00M
"Nov. 30, 2005",-303.00M
"Aug. 31, 2005",112.00M
"May 31, 2005",582.00M
"Feb. 28, 2005",235.00M
"Nov. 30, 2004",-278.00M
"Aug. 31, 2004",342.00M
"May 31, 2004",909.00M
"Feb. 29, 2004",188.00M
"Nov. 30, 2003",379.00M
"Aug. 31, 2003",273.00M
"May 31, 2003",628.00M
"Feb. 28, 2003",-519.00M
"Nov. 30, 2002",306.00M
"Aug. 31, 2002",-55.00M
"May 31, 2002",474.00M
"Feb. 28, 2002",12.00M
"Nov. 30, 2001",299.00M
"Aug. 31, 2001",-172.00M
"May 31, 2001",397.00M
"Feb. 28, 2001",-261.19M
"Nov. 30, 2000",44.19M
"Aug. 31, 2000",-29.00M
"May 31, 2000",608.30M
"Feb. 29, 2000",-332.40M
"Nov. 30, 1999",-249.80M
"Aug. 31, 1999",-28.10M
"May 31, 1999",298.57M
"Feb. 28, 1999",-219.30M
"Nov. 30, 1998",22.20M
"Aug. 31, 1998",-99.30M
"May 31, 1998",123.60M
"Feb. 28, 1998",-245.50M
"Nov. 30, 1997",-87.50M
"Aug. 31, 1997",-65.50M
"May 31, 1997",-18.00M
"Feb. 28, 1997",-444.70M
"Nov. 30, 1996",-198.10M
"Aug. 31, 1996",7.00M
"May 31, 1996",-109.40M
"Feb. 29, 1996",-142.70M
"Nov. 30, 1995",-127.90M
"Aug. 31, 1995",-135.90M
"May 31, 1995",29.80M
"Feb. 28, 1995",-46.40M
"Nov. 30, 1994",-7.40M
"Aug. 31, 1994",-6.10M
"May 31, 1994",134.20M
"Feb. 28, 1994",-71.20M
"Nov. 30, 1993",-156.00M
"Aug. 31, 1993",-227.40M
"May 31, 1993",54.50M
"Feb. 28, 1993",-83.80M
"Nov. 30, 1992",-324.50M
"Aug. 31, 1992",55.20M
"May 31, 1992",20.90M
"Feb. 29, 1992",-281.90M
"Nov. 30, 1991",5.30M
"Aug. 31, 1991",-139.40M
"May 31, 1991",-0.10M
"Feb. 28, 1991",-147.70M
"Nov. 30, 1990",-105.80M
"Aug. 31, 1990",13.30M
"May 31, 1990",16.90M
"Feb. 28, 1990",-254.90M
"Nov. 30, 1989",-296.20M
"Aug. 31, 1989",-113.60M
