date,net_income_cs_rev
"Feb. 29, 2020",1.80%
"Nov. 30, 2019",3.23%
"Aug. 31, 2019",4.37%
"May 31, 2019",-11.06%
"Feb. 28, 2019",4.34%
"Nov. 30, 2018",5.25%
"Aug. 31, 2018",4.90%
"May 31, 2018",6.51%
"Feb. 28, 2018",12.55%
"Nov. 30, 2017",4.75%
"Aug. 31, 2017",3.90%
"May 31, 2017",6.49%
"Feb. 28, 2017",3.75%
"Nov. 30, 2016",4.69%
"Aug. 31, 2016",4.88%
"May 31, 2016",-0.54%
"Feb. 29, 2016",4.01%
"Nov. 30, 2015",5.55%
"Aug. 31, 2015",5.64%
"May 31, 2015",-7.38%
"Feb. 28, 2015",5.36%
"Nov. 30, 2014",5.55%
"Aug. 31, 2014",5.59%
"May 31, 2014",8.08%
"Feb. 28, 2014",3.34%
"Nov. 30, 2013",4.38%
"Aug. 31, 2013",4.44%
"May 31, 2013",12.75%
"Feb. 28, 2013",3.30%
"Nov. 30, 2012",3.94%
"Aug. 31, 2012",4.25%
"May 31, 2012",5.00%
"Feb. 29, 2012",4.93%
"Nov. 30, 2011",4.69%
"Aug. 31, 2011",4.41%
"May 31, 2011",5.29%
"Feb. 28, 2011",2.39%
"Nov. 30, 2010",2.94%
"Aug. 31, 2010",4.02%
"May 31, 2010",4.44%
"Feb. 28, 2010",2.75%
"Nov. 30, 2009",4.01%
"Aug. 31, 2009",2.26%
"May 31, 2009",-11.16%
"Feb. 28, 2009",1.19%
"Nov. 30, 2008",5.17%
"Aug. 31, 2008",3.85%
"May 31, 2008",-2.44%
"Feb. 29, 2008",4.16%
"Nov. 30, 2007",5.07%
"Aug. 31, 2007",5.37%
"May 31, 2007",6.67%
"Feb. 28, 2007",4.89%
"Nov. 30, 2006",5.72%
"Aug. 31, 2006",5.56%
"May 31, 2006",6.69%
"Feb. 28, 2006",5.35%
"Nov. 30, 2005",5.82%
"Aug. 31, 2005",4.40%
"May 31, 2005",5.81%
"Feb. 28, 2005",4.32%
"Nov. 30, 2004",4.83%
"Aug. 31, 2004",4.73%
"May 31, 2004",5.85%
"Feb. 29, 2004",3.41%
"Nov. 30, 2003",1.54%
"Aug. 31, 2003",2.25%
"May 31, 2003",4.80%
"Feb. 28, 2003",2.65%
"Nov. 30, 2002",4.32%
"Aug. 31, 2002",2.90%
"May 31, 2002",4.36%
"Feb. 28, 2002",2.39%
"Nov. 30, 2001",4.77%
"Aug. 31, 2001",2.16%
"May 31, 2001",2.21%
"Feb. 28, 2001",2.25%
"Nov. 30, 2000",3.96%
"Aug. 31, 2000",3.54%
"May 31, 2000",5.05%
"Feb. 29, 2000",2.50%
"Nov. 30, 1999",3.75%
"Aug. 31, 1999",3.68%
"May 31, 1999",5.05%
"Feb. 28, 1999",1.90%
"Nov. 30, 1998",4.34%
"Aug. 31, 1998",3.66%
"May 31, 1998",4.19%
"Feb. 28, 1998",0.44%
"Nov. 30, 1997",3.80%
"Aug. 31, 1997",4.26%
"May 31, 1997",-1.02%
"Feb. 28, 1997",1.73%
"Nov. 30, 1996",3.64%
"Aug. 31, 1996",2.30%
"May 31, 1996",1.70%
"Feb. 29, 1996",1.07%
"Nov. 30, 1995",3.53%
"Aug. 31, 1995",3.07%
"May 31, 1995",3.53%
"Feb. 28, 1995",2.71%
"Nov. 30, 1994",3.65%
"Aug. 31, 1994",2.74%
"May 31, 1994",3.56%
"Feb. 28, 1994",1.50%
"Nov. 30, 1993",2.81%
"Aug. 31, 1993",1.63%
"May 31, 1993",-0.33%
"Feb. 28, 1993",0.54%
"Nov. 30, 1992",1.93%
"Aug. 31, 1992",0.65%
"May 31, 1992",1.89%
"Feb. 29, 1992",-10.24%
"Nov. 30, 1991",1.36%
"Aug. 31, 1991",0.94%
"May 31, 1991",1.62%
"Feb. 28, 1991",-5.66%
"Nov. 30, 1990",1.88%
"Aug. 31, 1990",2.25%
"May 31, 1990",2.26%
"Feb. 28, 1990",0.30%
"Nov. 30, 1989",2.15%
"Aug. 31, 1989",1.85%
"May 31, 1989",2.46%
"Feb. 28, 1989",1.93%
"Nov. 30, 1988",4.62%
"Aug. 31, 1988",4.47%
"May 31, 1988",5.21%
"Feb. 29, 1988",3.74%
"Nov. 30, 1987",4.66%
"Aug. 31, 1987",5.76%
"May 31, 1987",4.45%
"Feb. 28, 1987",4.49%
"Nov. 30, 1986",-21.04%
"Aug. 31, 1986",3.42%
"May 31, 1986",5.38%
"Feb. 28, 1986",3.94%
"Nov. 30, 1985",5.58%
"Aug. 31, 1985",5.36%
"May 31, 1985",7.07%
"Feb. 28, 1985",3.04%
"Nov. 30, 1984",2.10%
"Aug. 31, 1984",1.89%
"May 31, 1984",6.95%
"Feb. 29, 1984",7.49%
