date,beneish_m_score
"May 31, 2010",-3.625
"May 31, 2009",-4.064
"May 31, 2008",-3.716
"May 31, 2007",
"May 31, 2006",
"May 31, 2005",-3.582
"May 31, 2004",-3.714
"May 31, 2003",-3.489
"May 31, 2002",-3.834
"May 31, 2001",-3.907
"May 31, 2000",-3.358
"May 31, 1999",-3.801
"May 31, 1998",-4.093
"May 31, 1997",-3.824
"May 31, 1996",-3.396
"May 31, 1995",-3.917
"May 31, 1994",-3.743
"May 31, 1993",-3.884
"May 31, 1992",-3.948
"May 31, 1991",-3.988
