date,cash_operations_ttm
"Feb. 29, 2020",5.568B
"Nov. 30, 2019",5.508B
"Aug. 31, 2019",5.477B
"May 31, 2019",5.613B
"Feb. 28, 2019",6.835B
"Nov. 30, 2018",5.355B
"Aug. 31, 2018",4.785B
"May 31, 2018",4.674B
"Feb. 28, 2018",3.447B
"Nov. 30, 2017",3.793B
"Aug. 31, 2017",4.549B
"May 31, 2017",4.93B
"Feb. 28, 2017",4.557B
"Nov. 30, 2016",5.889B
"Aug. 31, 2016",5.438B
"May 31, 2016",5.708B
"Feb. 29, 2016",5.689B
"Nov. 30, 2015",5.669B
"Aug. 31, 2015",5.625B
"May 31, 2015",5.366B
"Feb. 28, 2015",5.159B
"Nov. 30, 2014",4.806B
"Aug. 31, 2014",4.317B
"May 31, 2014",4.264B
"Feb. 28, 2014",4.29B
"Nov. 30, 2013",4.579B
"Aug. 31, 2013",4.714B
"May 31, 2013",4.688B
"Feb. 28, 2013",4.794B
"Nov. 30, 2012",4.385B
"Aug. 31, 2012",4.878B
"May 31, 2012",4.835B
"Feb. 29, 2012",4.601B
"Nov. 30, 2011",4.198B
"Aug. 31, 2011",4.105B
"May 31, 2011",4.041B
"Feb. 28, 2011",3.687B
"Nov. 30, 2010",3.792B
"Aug. 31, 2010",3.036B
"May 31, 2010",3.138B
"Feb. 28, 2010",2.44B
"Nov. 30, 2009",2.655B
"Aug. 31, 2009",2.953B
"May 31, 2009",2.753B
"Feb. 28, 2009",3.509B
"Nov. 30, 2008",3.656B
"Aug. 31, 2008",3.362B
"May 31, 2008",3.465B
"Feb. 29, 2008",3.63B
"Nov. 30, 2007",3.473B
"Aug. 31, 2007",3.693B
"May 31, 2007",3.557B
"Feb. 28, 2007",3.561B
"Nov. 30, 2006",3.889B
"Aug. 31, 2006",3.558B
"May 31, 2006",3.676B
"Feb. 28, 2006",3.376B
"Nov. 30, 2005",3.013B
"Aug. 31, 2005",3.163B
"May 31, 2005",3.117B
"Feb. 28, 2005",3.248B
"Nov. 30, 2004",2.999B
"Aug. 31, 2004",3.184B
"May 31, 2004",3.02B
"Feb. 29, 2004",2.697B
"Nov. 30, 2003",1.992B
"Aug. 31, 2003",1.963B
"May 31, 2003",1.871B
"Feb. 28, 2003",1.694B
"Nov. 30, 2002",2.303B
"Aug. 31, 2002",2.381B
"May 31, 2002",2.228B
"Feb. 28, 2002",2.458B
"Nov. 30, 2001",2.273B
"Aug. 31, 2001",2.06B
"May 31, 2001",2.044B
"Feb. 28, 2001",1.775B
"Nov. 30, 2000",1.783B
"Aug. 31, 2000",1.607B
"May 31, 2000",1.625B
"Feb. 29, 2000",1.609B
"Nov. 30, 1999",1.562B
"Aug. 31, 1999",1.706B
"May 31, 1999",1.772B
"Feb. 28, 1999",1.785B
"Nov. 30, 1998",1.821B
"Aug. 31, 1998",1.678B
"May 31, 1998",1.605B
"Feb. 28, 1998",1.29B
"Nov. 30, 1997",1.232B
"Aug. 31, 1997",1.152B
"May 31, 1997",1.109B
"Feb. 28, 1997",1.267B
"Nov. 30, 1996",1.308B
"Aug. 31, 1996",1.273B
"May 31, 1996",1.184B
"Feb. 29, 1996",983.70M
"Nov. 30, 1995",990.20M
"Aug. 31, 1995",983.60M
"May 31, 1995",1.031B
"Feb. 28, 1995",951.50M
"Nov. 30, 1994",854.10M
"Aug. 31, 1994",837.90M
"May 31, 1994",767.30M
"Feb. 28, 1994",701.00M
"Nov. 30, 1993",691.70M
"Aug. 31, 1993",656.20M
"May 31, 1993",725.10M
"Feb. 28, 1993",701.30M
"Nov. 30, 1992",518.50M
"Aug. 31, 1992",593.70M
"May 31, 1992",520.80M
"Feb. 29, 1992",525.50M
"Nov. 30, 1991",685.00M
"Aug. 31, 1991",626.30M
"May 31, 1991",787.40M
"Feb. 28, 1991",909.30M
"Nov. 30, 1990",929.20M
"Aug. 31, 1990",718.00M
"May 31, 1990",516.30M
