date,cash_financing_ttm
"Feb. 29, 2020",-165.00M
"Nov. 30, 2019",564.00M
"Aug. 31, 2019",375.00M
"May 31, 2019",-1.039B
"Feb. 28, 2019",-1.357B
"Nov. 30, 2018",-367.00M
"Aug. 31, 2018",-157.00M
"May 31, 2018",227.00M
"Feb. 28, 2018",1.374B
"Nov. 30, 2017",851.00M
"Aug. 31, 2017",753.00M
"May 31, 2017",528.00M
"Feb. 28, 2017",5.403B
"Nov. 30, 2016",3.147B
"Aug. 31, 2016",3.522B
"May 31, 2016",3.611B
"Feb. 29, 2016",-1.295B
"Nov. 30, 2015",2.232B
"Aug. 31, 2015",1.866B
"May 31, 2015",1.349B
"Feb. 28, 2015",776.00M
"Nov. 30, 2014",-2.652B
"Aug. 31, 2014",-3.279B
"May 31, 2014",-2.719B
"Feb. 28, 2014",-1.145B
"Nov. 30, 2013",-23.00M
"Aug. 31, 2013",578.00M
"May 31, 2013",1.184B
"Feb. 28, 2013",431.00M
"Nov. 30, 2012",306.00M
"Aug. 31, 2012",207.00M
"May 31, 2012",-244.00M
"Feb. 29, 2012",-245.00M
"Nov. 30, 2011",-488.00M
"Aug. 31, 2011",-272.00M
"May 31, 2011",-287.00M
"Feb. 28, 2011",-286.00M
"Nov. 30, 2010",-70.00M
"Aug. 31, 2010",-183.00M
"May 31, 2010",-692.00M
"Feb. 28, 2010",-1.206B
"Nov. 30, 2009",-221.00M
"Aug. 31, 2009",-120.00M
"May 31, 2009",400.00M
"Feb. 28, 2009",905.00M
"Nov. 30, 2008",-162.00M
"Aug. 31, 2008",-158.00M
"May 31, 2008",-617.00M
"Feb. 29, 2008",-1.226B
"Nov. 30, 2007",-1.103B
"Aug. 31, 2007",-1.078B
"May 31, 2007",193.00M
"Feb. 28, 2007",798.00M
"Nov. 30, 2006",556.00M
"Aug. 31, 2006",559.00M
"May 31, 2006",-324.00M
"Feb. 28, 2006",-952.00M
"Nov. 30, 2005",-821.00M
"Aug. 31, 2005",-873.00M
"May 31, 2005",-776.00M
"Feb. 28, 2005",-492.00M
"Nov. 30, 2004",1.268B
"Aug. 31, 2004",1.26B
"May 31, 2004",1.15B
"Feb. 29, 2004",1.216B
"Nov. 30, 2003",-272.00M
"Aug. 31, 2003",-240.00M
"May 31, 2003",-174.00M
"Feb. 28, 2003",-229.00M
"Nov. 30, 2002",-458.00M
"Aug. 31, 2002",-598.00M
"May 31, 2002",-406.00M
"Feb. 28, 2002",-645.00M
"Nov. 30, 2001",-386.76M
"Aug. 31, 2001",127.00M
"May 31, 2001",122.00M
"Feb. 28, 2001",263.80M
"Nov. 30, 2000",-4.241M
"Aug. 31, 2000",-17.90M
"May 31, 2000",-174.00M
"Feb. 29, 2000",65.40M
"Nov. 30, 1999",-163.00M
"Aug. 31, 1999",-232.10M
"May 31, 1999",-227.60M
"Feb. 28, 1999",-160.40M
"Nov. 30, 1998",156.40M
"Aug. 31, 1998",-160.20M
"May 31, 1998",-247.20M
"Feb. 28, 1998",-60.40M
"Nov. 30, 1997",245.40M
"Aug. 31, 1997",315.40M
"May 31, 1997",410.20M
"Feb. 28, 1997",327.80M
"Nov. 30, 1996",-8.60M
"Aug. 31, 1996",-77.60M
"May 31, 1996",-72.20M
"Feb. 29, 1996",-47.80M
"Nov. 30, 1995",-62.00M
"Aug. 31, 1995",-240.70M
"May 31, 1995",-291.00M
"Feb. 28, 1995",-334.90M
"Nov. 30, 1994",-399.50M
"Aug. 31, 1994",-189.70M
"May 31, 1994",-136.30M
"Feb. 28, 1994",-194.20M
"Nov. 30, 1993",-125.40M
"Aug. 31, 1993",112.70M
"May 31, 1993",151.50M
"Feb. 28, 1993",-4.90M
"Nov. 30, 1992",280.10M
"Aug. 31, 1992",-109.50M
"May 31, 1992",-58.40M
"Feb. 29, 1992",10.60M
"Nov. 30, 1991",-150.90M
"Aug. 31, 1991",232.50M
"May 31, 1991",2.80M
"Feb. 28, 1991",252.60M
"Nov. 30, 1990",310.40M
"Aug. 31, 1990",101.00M
"May 31, 1990",21.00M
