date,ebitda_margin_ttm
"Feb. 29, 2020",5.24%
"Nov. 30, 2019",5.92%
"Aug. 31, 2019",6.56%
"May 31, 2019",6.59%
"Feb. 28, 2019",12.15%
"Nov. 30, 2018",12.06%
"Aug. 31, 2018",12.15%
"May 31, 2018",12.23%
"Feb. 28, 2018",11.94%
"Nov. 30, 2017",12.46%
"Aug. 31, 2017",12.80%
"May 31, 2017",13.41%
"Feb. 28, 2017",10.93%
"Nov. 30, 2016",10.93%
"Aug. 31, 2016",11.22%
"May 31, 2016",11.33%
"Feb. 29, 2016",8.97%
"Nov. 30, 2015",9.48%
"Aug. 31, 2015",9.47%
"May 31, 2015",9.43%
"Feb. 28, 2015",15.57%
"Nov. 30, 2014",14.86%
"Aug. 31, 2014",14.46%
"May 31, 2014",14.06%
"Feb. 28, 2014",15.79%
"Nov. 30, 2013",15.78%
"Aug. 31, 2013",15.52%
"May 31, 2013",15.33%
"Feb. 28, 2013",12.01%
"Nov. 30, 2012",12.39%
"Aug. 31, 2012",12.51%
"May 31, 2012",15.57%
"Feb. 29, 2012",6.10%
"Nov. 30, 2011",8.37%
"Aug. 31, 2011",7.74%
"May 31, 2011",4.17%
"Feb. 28, 2011",14.37%
"Nov. 30, 2010",11.12%
"Aug. 31, 2010",11.67%
"May 31, 2010",11.32%
"Feb. 28, 2010",-4.61%
"Nov. 30, 2009",-1.37%
"Aug. 31, 2009",3.34%
"May 31, 2009",7.71%
"Feb. 28, 2009",9.12%
"Nov. 30, 2008",10.04%
"Aug. 31, 2008",10.06%
"May 31, 2008",10.39%
"Feb. 29, 2008",24.39%
"Nov. 30, 2007",21.24%
"Aug. 31, 2007",17.80%
"May 31, 2007",14.46%
"Feb. 28, 2007",24.67%
"Nov. 30, 2006",25.14%
"Aug. 31, 2006",25.49%
"May 31, 2006",25.44%
"Feb. 28, 2006",13.79%
"Nov. 30, 2005",13.49%
"Aug. 31, 2005",9.28%
"May 31, 2005",11.11%
"Feb. 28, 2005",8.76%
"Nov. 30, 2004",6.47%
"Aug. 31, 2004",8.56%
"May 31, 2004",6.71%
"Feb. 29, 2004",-4.73%
"Nov. 30, 2003",-1.46%
"Aug. 31, 2003",-6.85%
"May 31, 2003",-15.33%
"Feb. 28, 2003",9.98%
"Nov. 30, 2002",0.80%
"Aug. 31, 2002",8.53%
"May 31, 2002",8.66%
"Feb. 28, 2002",8.79%
"Nov. 30, 2001",8.54%
"Aug. 31, 2001",6.10%
"May 31, 2001",6.64%
"Feb. 28, 2001",1.50%
"Nov. 30, 2000",2.09%
"Aug. 31, 2000",-3.88%
"May 31, 2000",-3.70%
"Feb. 29, 2000",-0.70%
"Nov. 30, 1999",-1.16%
"Aug. 31, 1999",-0.39%
"May 31, 1999",8.18%
"Feb. 28, 1999",-0.69%
"Nov. 30, 1998",8.64%
"Aug. 31, 1998",8.70%
"May 31, 1998",0.83%
"Feb. 28, 1998",-12.58%
"Nov. 30, 1997",-20.82%
"Aug. 31, 1997",-21.78%
"May 31, 1997",-23.78%
"Feb. 28, 1997",-19.26%
"Nov. 30, 1996",-20.79%
"Aug. 31, 1996",-20.52%
"May 31, 1996",-20.06%
"Feb. 29, 1996",8.05%
"Nov. 30, 1995",9.93%
"Aug. 31, 1995",11.61%
"May 31, 1995",13.24%
"Feb. 28, 1995",-34.13%
"Nov. 30, 1994",-29.98%
"Aug. 31, 1994",-25.95%
"May 31, 1994",-22.18%
"Feb. 28, 1994",-1.46%
"Nov. 30, 1993",3.19%
"Aug. 31, 1993",7.70%
"May 31, 1993",12.26%
"Feb. 28, 1993",12.19%
"Nov. 30, 1992",11.44%
"Aug. 31, 1992",11.20%
"May 31, 1992",11.31%
"Feb. 29, 1992",11.36%
"Nov. 30, 1991",11.71%
"Aug. 31, 1991",11.84%
"May 31, 1991",12.16%
"Feb. 28, 1991",11.95%
"Nov. 30, 1990",12.32%
"Aug. 31, 1990",12.64%
"May 31, 1990",12.73%
"Feb. 28, 1990",-35.77%
"Nov. 30, 1989",-20.83%
"Aug. 31, 1989",-7.45%
"May 31, 1989",8.22%
"Feb. 28, 1989",23.02%
"Nov. 30, 1988",17.46%
"Aug. 31, 1988",13.54%
"May 31, 1988",9.77%
"Feb. 29, 1988",23.96%
"Nov. 30, 1987",20.11%
"Aug. 31, 1987",16.31%
"May 31, 1987",11.48%
"Feb. 28, 1987",21.03%
"Nov. 30, 1986",17.47%
"Aug. 31, 1986",12.71%
"May 31, 1986",8.13%
"Feb. 28, 1986",23.50%
"Nov. 30, 1985",18.41%
"Aug. 31, 1985",13.16%
"May 31, 1985",6.74%
"Feb. 28, 1985",31.34%
"Nov. 30, 1984",25.78%
