date,total_employee_number
"May 31, 2019",239000
"May 31, 2018",227000
"May 31, 2017",169000
"May 31, 2016",168000
"May 31, 2015",166000
"May 31, 2014",162000
"May 31, 2013",160700
"May 31, 2012",149000
"May 31, 2011",143000
"May 31, 2010",141000
"May 31, 2009",140000
"May 31, 2008",145000
"May 31, 2007",143000
"May 31, 2006",138400
"May 31, 2005",138100
"May 31, 2004",133500
"May 31, 2003",134000
"May 31, 2002",135600
"May 31, 2001",144000
"May 31, 2000",149000
"May 31, 1999",138000
"May 31, 1998",138000
"May 31, 1997",76000
"May 31, 1996",70692
"May 31, 1995",69000
"May 31, 1994",66000
"May 31, 1993",95000
"May 31, 1992",95000
"May 31, 1991",78500
"May 31, 1990",78500
