date,long_term_debt
"Feb. 29, 2020",18.97B
"Nov. 30, 2019",18.60B
"Aug. 31, 2019",18.63B
"May 31, 2019",16.62B
"Feb. 28, 2019",17.22B
"Nov. 30, 2018",16.40B
"Aug. 31, 2018",15.24B
"May 31, 2018",15.24B
"Feb. 28, 2018",16.02B
"Nov. 30, 2017",15.18B
"Aug. 31, 2017",15.14B
"May 31, 2017",14.91B
"Feb. 28, 2017",14.71B
"Nov. 30, 2016",13.55B
"Aug. 31, 2016",13.74B
"May 31, 2016",13.73B
"Feb. 29, 2016",8.477B
"Nov. 30, 2015",8.481B
"Aug. 31, 2015",7.244B
"May 31, 2015",7.249B
"Feb. 28, 2015",7.228B
"Nov. 30, 2014",4.735B
"Aug. 31, 2014",4.735B
"May 31, 2014",4.736B
"Feb. 28, 2014",4.735B
"Nov. 30, 2013",2.739B
"Aug. 31, 2013",2.739B
"May 31, 2013",2.739B
"Feb. 28, 2013",1.991B
"Nov. 30, 2012",2.241B
"Aug. 31, 2012",2.242B
"May 31, 2012",1.25B
"Feb. 29, 2012",1.251B
"Nov. 30, 2011",1.251B
"Aug. 31, 2011",1.367B
"May 31, 2011",1.667B
"Feb. 28, 2011",1.667B
"Nov. 30, 2010",1.667B
"Aug. 31, 2010",1.668B
"May 31, 2010",1.668B
"Feb. 28, 2010",1.668B
"Nov. 30, 2009",1.918B
"Aug. 31, 2009",1.918B
"May 31, 2009",1.93B
"Feb. 28, 2009",1.918B
"Nov. 30, 2008",918.00M
"Aug. 31, 2008",1.007B
"May 31, 2008",1.506B
"Feb. 29, 2008",2.006B
"Nov. 30, 2007",2.007B
"Aug. 31, 2007",2.007B
"May 31, 2007",2.007B
"Feb. 28, 2007",2.005B
"Nov. 30, 2006",2.047B
"Aug. 31, 2006",2.09B
"May 31, 2006",1.592B
"Feb. 28, 2006",2.209B
"Nov. 30, 2005",2.203B
"Aug. 31, 2005",2.408B
"May 31, 2005",2.427B
"Feb. 28, 2005",2.441B
"Nov. 30, 2004",2.74B
"Aug. 31, 2004",2.744B
"May 31, 2004",2.837B
"Feb. 29, 2004",1.859B
"Nov. 30, 2003",1.893B
"Aug. 31, 2003",1.815B
"May 31, 2003",1.709B
"Feb. 28, 2003",1.526B
"Nov. 30, 2002",1.775B
"Aug. 31, 2002",1.775B
"May 31, 2002",1.80B
"Feb. 28, 2002",1.809B
"Nov. 30, 2001",1.896B
"Aug. 31, 2001",2.05B
"May 31, 2001",1.90B
"Feb. 28, 2001",2.659B
"Nov. 30, 2000",2.230B
"Aug. 31, 2000",1.895B
"May 31, 2000",1.776B
"Feb. 29, 2000",1.856B
"Nov. 30, 1999",1.850B
"Aug. 31, 1999",1.360B
"May 31, 1999",1.360B
"Feb. 28, 1999",1.362B
"Nov. 30, 1998",1.362B
"Aug. 31, 1998",1.371B
"May 31, 1998",1.385B
"Feb. 28, 1998",1.500B
"Nov. 30, 1997",1.287B
"Aug. 31, 1997",1.438B
"May 31, 1997",1.598B
"Feb. 28, 1997",1.540B
"Nov. 30, 1996",1.331B
"Aug. 31, 1996",1.318B
"May 31, 1996",1.325B
"Feb. 29, 1996",1.327B
"Nov. 30, 1995",1.336B
"Aug. 31, 1995",1.319B
"May 31, 1995",1.325B
"Feb. 28, 1995",1.449B
"Nov. 30, 1994",1.470B
"Aug. 31, 1994",1.588B
"May 31, 1994",1.632B
"Feb. 28, 1994",1.673B
"Nov. 30, 1993",1.670B
"Aug. 31, 1993",1.883B
"May 31, 1993",1.882B
"Feb. 28, 1993",1.970B
"Nov. 30, 1992",1.968B
"Aug. 31, 1992",1.851B
"May 31, 1992",1.798B
"Feb. 29, 1992",2.037B
"Nov. 30, 1991",1.802B
"Aug. 31, 1991",1.916B
"May 31, 1991",1.827B
"Feb. 28, 1991",2.241B
"Nov. 30, 1990",2.237B
"Aug. 31, 1990",2.072B
"May 31, 1990",2.148B
"Feb. 28, 1990",2.088B
"Nov. 30, 1989",1.905B
"Aug. 31, 1989",1.904B
"May 31, 1989",2.139B
"May 31, 1988",838.70M
"May 31, 1987",744.90M
"May 31, 1986",561.70M
"May 31, 1985",607.50M
"May 31, 1984",435.20M
