date,return_on_assets
"Feb. 29, 2020",-0.55%
"Nov. 30, 2019",0.12%
"Aug. 31, 2019",0.80%
"May 31, 2019",1.01%
"Feb. 28, 2019",6.89%
"Nov. 30, 2018",9.57%
"Aug. 31, 2018",9.41%
"May 31, 2018",9.06%
"Feb. 28, 2018",9.05%
"Nov. 30, 2017",6.12%
"Aug. 31, 2017",6.08%
"May 31, 2017",6.43%
"Feb. 28, 2017",4.29%
"Nov. 30, 2016",4.33%
"Aug. 31, 2016",4.50%
"May 31, 2016",4.64%
"Feb. 29, 2016",2.68%
"Nov. 30, 2015",3.08%
"Aug. 31, 2015",3.10%
"May 31, 2015",3.07%
"Feb. 28, 2015",8.66%
"Nov. 30, 2014",8.04%
"Aug. 31, 2014",7.51%
"May 31, 2014",6.98%
"Feb. 28, 2014",8.54%
"Nov. 30, 2013",8.56%
"Aug. 31, 2013",8.52%
"May 31, 2013",8.63%
"Feb. 28, 2013",5.93%
"Nov. 30, 2012",6.60%
"Aug. 31, 2012",6.96%
"May 31, 2012",7.14%
"Feb. 29, 2012",7.36%
"Nov. 30, 2011",6.44%
"Aug. 31, 2011",5.79%
"May 31, 2011",5.59%
"Feb. 28, 2011",5.16%
"Nov. 30, 2010",5.26%
"Aug. 31, 2010",5.60%
"May 31, 2010",4.83%
"Feb. 28, 2010",-0.45%
"Nov. 30, 2009",-1.00%
"Aug. 31, 2009",-0.41%
"May 31, 2009",0.38%
"Feb. 28, 2009",2.82%
"Nov. 30, 2008",4.05%
"Aug. 31, 2008",4.07%
"May 31, 2008",4.59%
"Feb. 29, 2008",8.11%
"Nov. 30, 2007",8.21%
"Aug. 31, 2007",8.38%
"May 31, 2007",8.38%
"Feb. 28, 2007",8.38%
"Nov. 30, 2006",8.69%
"Aug. 31, 2006",8.84%
"May 31, 2006",8.48%
"Feb. 28, 2006",8.10%
"Nov. 30, 2005",7.67%
"Aug. 31, 2005",7.23%
"May 31, 2005",7.29%
"Feb. 28, 2005",7.26%
"Nov. 30, 2004",7.00%
"Aug. 31, 2004",5.87%
"May 31, 2004",4.96%
"Feb. 29, 2004",4.40%
"Nov. 30, 2003",4.23%
"Aug. 31, 2003",5.39%
"May 31, 2003",5.72%
"Feb. 28, 2003",5.55%
"Nov. 30, 2002",5.45%
"Aug. 31, 2002",5.52%
"May 31, 2002",5.21%
"Feb. 28, 2002",4.33%
"Nov. 30, 2001",4.33%
"Aug. 31, 2001",4.06%
"May 31, 2001",4.66%
"Feb. 28, 2001",5.89%
"Nov. 30, 2000",6.12%
"Aug. 31, 2000",6.11%
"May 31, 2000",6.14%
"Feb. 29, 2000",6.08%
"Nov. 30, 1999",5.86%
"Aug. 31, 1999",6.16%
"May 31, 1999",6.20%
"Feb. 28, 1999",5.85%
"Nov. 30, 1998",5.47%
"Aug. 31, 1998",5.41%
"May 31, 1998",5.69%
"Feb. 28, 1998",3.48%
"Nov. 30, 1997",4.23%
"Aug. 31, 1997",3.77%
"May 31, 1997",2.52%
"Feb. 28, 1997",4.54%
"Nov. 30, 1996",4.14%
"Aug. 31, 1996",4.01%
"May 31, 1996",4.26%
"Feb. 29, 1996",4.32%
"Nov. 30, 1995",4.97%
"Aug. 31, 1995",5.00%
"May 31, 1995",4.85%
"Feb. 28, 1995",4.83%
"Nov. 30, 1994",4.33%
"Aug. 31, 1994",3.92%
"May 31, 1994",3.47%
"Feb. 28, 1994",2.01%
"Nov. 30, 1993",1.66%
"Aug. 31, 1993",1.30%
"May 31, 1993",0.95%
"Feb. 28, 1993",1.71%
"Nov. 30, 1992",-1.90%
"Aug. 31, 1992",-2.10%
"May 31, 1992",-2.00%
"Feb. 29, 1992",-2.04%
"Nov. 30, 1991",-0.52%
"Aug. 31, 1991",-0.34%
"May 31, 1991",0.10%
"Feb. 28, 1991",0.31%
"Nov. 30, 1990",2.29%
"Aug. 31, 1990",2.37%
"May 31, 1990",2.18%
"Feb. 28, 1990",2.17%
"Nov. 30, 1989",2.57%
