date,net_income_annual_cs_rev
"May 31, 2019",0.77%
"May 31, 2018",6.99%
"May 31, 2017",4.97%
"May 31, 2016",3.61%
"May 31, 2015",2.21%
"May 31, 2014",5.10%
"May 31, 2013",6.13%
"May 31, 2012",4.76%
"May 31, 2011",3.69%
"May 31, 2010",3.41%
"May 31, 2009",0.28%
"May 31, 2008",2.96%
"May 31, 2007",5.72%
"May 31, 2006",5.59%
"May 31, 2005",4.93%
"May 31, 2004",3.39%
"May 31, 2003",3.69%
"May 31, 2002",3.45%
"May 31, 2001",2.98%
"May 31, 2000",3.77%
"May 31, 1999",3.76%
"May 31, 1998",3.17%
"May 31, 1997",1.38%
"May 31, 1996",2.21%
"May 31, 1995",3.17%
"May 31, 1994",2.41%
"May 31, 1993",0.69%
"May 31, 1992",-1.51%
"May 31, 1991",0.08%
"May 31, 1990",1.65%
"May 31, 1989",3.22%
"May 31, 1988",4.83%
"May 31, 1987",-2.06%
"May 31, 1986",5.06%
"May 31, 1985",3.75%
"May 31, 1984",8.03%
